Decade,AvgTemp_Decade
1900,17.494778120953015
1910,17.459021730742556
1920,17.632512785856274
1930,17.74543896960005
1940,17.77977963948457
1950,17.802946646695833
1960,17.7824356498892
1970,17.802715193792103
1980,17.95967339450956
1990,18.250631977315432
2000,18.524879054914997
2010,18.670366152088835
