Continent,Year,AvgTemp,rank
América do Norte,2013,17.176186893917137,1
América do Norte,2012,16.659755829300458,2
América do Norte,1998,16.322230211081813,3
América do Norte,2006,16.29643469656994,4
América do Norte,2005,16.048371591908538,5
América do Norte,2011,16.033316402814428,6
América do Norte,1999,15.995209368814573,7
América do Norte,1990,15.981843447669291,8
América do Norte,2007,15.96999120299099,9
América do Norte,2001,15.969342128408085,10
América do Sul,2002,22.172480914336465,1
América do Sul,1998,22.105318242343618,2
América do Sul,2012,22.102311170212836,3
América do Sul,1997,22.034658123467842,4
América do Sul,2009,22.00302389380527,5
América do Sul,2010,21.997271129893242,6
América do Sul,2003,21.99365713018412,7
América do Sul,2001,21.972845264562046,8
América do Sul,2005,21.971356921029226,9
América do Sul,2006,21.926691182986318,10
Europa,2013,9.957455842997339,1
Europa,2007,9.609284861325113,2
Europa,2011,9.412846390760356,3
Europa,2008,9.409450991719615,4
Europa,1995,9.395590987868276,5
Europa,1989,9.391137798306378,6
Europa,2012,9.362584278451296,7
Europa,1990,9.33605100076983,8
Europa,2000,9.318369607087835,9
Europa,2002,9.299587249614785,10
Oceania,1998,16.349945652173908,1
Oceania,2013,16.275804347826085,2
Oceania,2005,16.238586956521733,3
Oceania,2007,16.223826086956525,4
Oceania,2010,16.215206521739134,5
Oceania,1988,16.179688405797105,6
Oceania,1999,16.11150724637681,7
Oceania,2009,16.07780797101449,8
Oceania,2001,16.06707608695652,9
Oceania,2011,16.022000000000006,10
África,2010,23.856062260536426,1
África,2005,23.543256361017768,2
África,2009,23.54263060057194,3
África,2003,23.433870735223483,4
África,1998,23.426341239109398,5
África,2013,23.401653362897285,6
África,2007,23.39189527520701,7
África,2006,23.36577873152125,8
África,1987,23.351374285714314,9
África,1999,23.350624999999997,10
Ásia,2013,21.09034979061052,1
Ásia,1998,20.56930661642141,2
Ásia,2007,20.46955841426288,3
Ásia,2002,20.467057906943094,4
Ásia,2009,20.43931579710147,5
Ásia,2004,20.427226159420325,6
Ásia,2010,20.400808749909324,7
Ásia,2006,20.357423116238266,8
Ásia,1999,20.300169794912726,9
Ásia,1990,20.186511452594935,10
