Country,Year,AvgTemp_Country,co2,co2_per_capita
Slovenia,2003,10.834249999999999,16.278,8.17
Bahrain,1965,26.226250000000004,1.227,6.11
Bahrain,1979,26.74591666666667,8.127,23.661
Niger,1963,28.59925,0.088,0.023
Niger,1984,28.625222222222224,0.987,0.143
Lesotho,2005,14.885666666666667,2.012,1.03
Uruguay,1971,17.464708333333334,5.802,2.067
Uruguay,2004,18.380374999999997,5.574,1.698
Bahamas,1968,24.401666666666667,1.628,9.569
Panama,2007,27.505083333333335,7.134,2.075
Mauritius,2008,24.189000000000004,3.767,2.955
Papua New Guinea,1999,25.38325,2.548,0.476
Croatia,1994,12.369222222222222,16.055,3.434
Oman,2012,26.50072727272727,63.105,17.791
Costa Rica,1971,24.684416666666664,1.527,0.809
South Korea,2009,11.836750000000002,537.82,11.078
Hong Kong,1967,21.496583333333337,6.052,1.742
Hong Kong,1971,21.436583333333335,9.151,2.294
Estonia,1968,4.467083333333333,21.726,16.282
Laos,2003,24.796166666666664,1.221,0.214
Namibia,1992,20.699199999999998,1.14,0.78
Denmark,1989,9.589999999999998,48.685,9.485
Kazakhstan,2013,8.11936842105263,253.533,14.441
Spain,2007,15.198973333333333,366.469,8.051
Germany,1962,7.593953703703703,882.843,11.931
Germany,1973,8.729694444444446,1085.603,13.748
Germany,2006,10.072664609053495,886.434,10.85
Nigeria,2006,27.608920329670315,90.097,0.604
Iran,1975,15.208323116219669,139.214,4.118
Canada,1960,5.300003333333334,192.716,10.767
Canada,1997,5.372326666666666,522.019,17.366
Canada,2002,6.09169,564.256,17.893
Canada,2009,5.402893333333332,541.13,15.997
United Kingdom,1962,8.39592034313725,592.92,11.13
United Kingdom,1974,9.314254901960782,617.187,10.977
United Kingdom,2006,10.650053921568624,567.846,9.301
Japan,2001,14.025729523809515,1245.935,9.79
United States,1976,14.096762321660178,4621.539,20.896
United States,1977,14.624126783398198,4749.501,21.273
United States,1997,14.729580739299607,5673.144,20.745
India,1982,25.717760614465547,325.383,0.452
Benin,1966,27.10376388888889,0.114,0.04
United Arab Emirates,1964,25.887083333333333,0.018,0.115
Mexico,1990,20.474211340206175,316.746,3.825
Australia,1966,16.537363095238096,115.736,9.984
Yemen,1966,25.90975,3.462,0.545
Pakistan,1963,24.48975988700566,15.6,0.315
Pakistan,1976,23.657292372881358,22.789,0.318
Pakistan,1986,23.956114406779665,49.059,0.483
France,2002,11.708453703703704,407.027,6.747
Libya,1971,19.866775,21.628,10.043
Libya,1995,20.504058333333333,54.596,11.126
Brazil,1963,22.533085551330792,55.519,0.701
Brazil,2000,22.557505303030325,340.183,1.955
South Africa,1969,16.89807333333334,143.143,6.622
South Africa,2009,16.841093645484953,474.512,9.173
Syria,1989,18.608202380952385,34.476,2.831
Syria,1999,19.42173809523809,55.534,3.422
